run,run_type,replay_mode
27106,SHMSHEEP,coin
27107,SHMSHEEP,coin
27108,SHMSHEE,shms
27109,SHMSHEE,shms
27113,HMSDIS,hms
27114,HMSDIS,hms
27115,HMSDIS,hms
27116,SHMSDIS,shms
27118,HMSDIS,hms
27119,HMSDIS,hms
27120,SHMSDIS,shms
27121,SHMSDIS,shms
27122,PI-SIDIS,coin
27123,PI-SIDIS,coin
27124,PI-SIDIS,coin
27125,PI-SIDIS,coin
27126,PI-SIDIS,coin
27127,PI-SIDIS,coin
27128,PI-SIDIS,coin
27129,PI-SIDIS,coin
27130,PI-SIDIS,coin
27131,PI-SIDIS,coin
27132,PI-SIDIS,coin
27133,PI-SIDIS,coin
27134,HMSDIS,hms
27135,PI-SIDIS,coin
27136,PI-SIDIS,coin
27137,PI-SIDIS,coin
27138,HMSDIS,hms
27139,PI-SIDIS,coin
27140,PI-SIDIS,coin
27141,PI-SIDIS,coin
27142,PI-SIDIS,coin
27143,PI-SIDIS,coin
27144,PI-SIDIS,coin
27145,PI-SIDIS,coin
27146,PI-SIDIS,coin
27147,PI-SIDIS,coin
27148,PI-SIDIS,coin
27149,PI-SIDIS,coin
27150,PI-SIDIS,coin
27151,PI-SIDIS,coin
27152,PI-SIDIS,coin
27153,PI-SIDIS,coin
27154,PI-SIDIS,coin
27155,PI-SIDIS,coin
27156,PI+SIDIS,coin
27157,PI+SIDIS,coin
27158,PI+SIDIS,coin
27159,HMSDIS,hms
27160,PI+SIDIS,coin
27161,HMSDIS,hms
27162,PI+SIDIS,coin
27163,PI+SIDIS,coin
27164,PI+SIDIS,coin
27165,PI+SIDIS,coin
27166,PI+SIDIS,coin
27167,PI+SIDIS,coin
27168,PI+SIDIS,coin
27169,PI+SIDIS,coin
27170,PI+SIDIS,coin
27171,PI+SIDIS,coin
27172,PI+SIDIS,coin
27173,PI+SIDIS,coin
27174,HMSDIS,hms
27175,HMSDIS,hms
27176,PI+SIDIS,coin
27177,PI+SIDIS,coin
27178,PI+SIDIS,coin
27179,HMSDIS,hms
27180,PI+SIDIS,coin
27181,PI+SIDIS,coin
27182,PI+SIDIS,coin
27183,PI+SIDIS,coin
27184,PI+SIDIS,coin
27185,PI+SIDIS,coin
27186,PI+SIDIS,coin
27187,PI+SIDIS,coin
27188,PI+SIDIS,coin
27189,PI+SIDIS,coin
27190,PI+SIDIS,coin
27191,PI+SIDIS,coin
27192,HMSDIS,hms
27194,HMSDIS,hms
27195,PI+SIDIS,coin
27196,PI+SIDIS,coin
27197,HMSDIS,hms
27198,PI+SIDIS,coin
27199,PI+SIDIS,coin
27200,PI+SIDIS,coin
27201,PI+SIDIS,coin
27202,PI+SIDIS,coin
27203,PI+SIDIS,coin
27204,PI+SIDIS,coin
27206,PI+SIDIS,coin
27208,PI+SIDIS,coin
27209,PI+SIDIS,coin
27210,PI+SIDIS,coin
27211,PI+SIDIS,coin
27212,PI+SIDIS,coin
27213,PI+SIDIS,coin
27214,HMSDIS,hms
27215,HMSDIS,hms
27216,PI+SIDIS,coin
27217,PI+SIDIS,coin
27218,PI+SIDIS,coin
27219,PI+SIDIS,coin
27220,HMSDIS,hms
27221,PI+SIDIS,coin
27222,PI+SIDIS,coin
27223,PI+SIDIS,coin
27224,PI+SIDIS,coin
27225,PI+SIDIS,coin
27226,PI+SIDIS,coin
27227,PI+SIDIS,coin
27228,PI+SIDIS,coin
27229,PI+SIDIS,coin
27230,PI+SIDIS,coin
27231,PI+SIDIS,coin
27232,PI+SIDIS,coin
27233,PI+SIDIS,coin
27234,PI+SIDIS,coin
27235,PI+SIDIS,coin
27236,PI+SIDIS,coin
27237,PI+SIDIS,coin
27238,PI+SIDIS,coin
27239,PI+SIDIS,coin
